key,value
company_name,PT Bank Rakyat Indonesia (Persero) Tbk
sub_sector,Banks
forward_pe,8.85981048722053
intrinsic_value,5719
last_close_price,3900
historical_valuation,"[{""pb"":2.11345404091681,""pe"":19.8501979232225,""ps"":4.03636698067519,""pcf"":18.9232515865934,""peg"":0.29834462021206387,""year"":2021,""pb_peer_avg"":1.41880028900102,""pe_peer_avg"":15.2093959160349,""ps_peer_avg"":7.5147481678811,""enterprise_to_ebitda"":null,""enterprise_to_revenue"":null},{""pb"":2.44306341748841,""pe"":14.4852351105461,""ps"":4.47589640949611,""pcf"":7.6017266833976,""peg"":0.22384259689421238,""year"":2022,""pb_peer_avg"":0.975919472508022,""pe_peer_avg"":15.1292552726864,""ps_peer_avg"":4.41860675563346,""enterprise_to_ebitda"":null,""enterprise_to_revenue"":null},{""pb"":2.71428685498643,""pe"":14.2928141949342,""ps"":4.68653353455001,""pcf"":-172.785703136346,""peg"":0.8190420343786728,""year"":2023,""pb_peer_avg"":0.854769761923978,""pe_peer_avg"":14.2928141949342,""ps_peer_avg"":4.03165315770388,""enterprise_to_ebitda"":null,""enterprise_to_revenue"":null},{""pb"":1.93163931471067,""pe"":10.1766813937321,""ps"":3.06601075528339,""pcf"":25.2099986243507,""peg"":111.15461572367536,""year"":2024,""pb_peer_avg"":0.809474232052149,""pe_peer_avg"":16.1927341107751,""ps_peer_avg"":3.43164746605984,""enterprise_to_ebitda"":null,""enterprise_to_revenue"":null},{""pb"":1.76686451853656,""pe"":10.4739639465765,""ps"":2.92466557523388,""pcf"":4.37314187445293,""peg"":null,""year"":2025,""pb_peer_avg"":0.835158260413278,""pe_peer_avg"":15.227563116329,""ps_peer_avg"":3.68533903356544,""enterprise_to_ebitda"":0,""enterprise_to_revenue"":-1.86933251758975}]"
